epoch,hidden_channels,out_channels,num_layers,num_epoch,patience,lr,weight_decay,conv_type,eps,gamma,step_size,aggr,end,num_head,dropout,p,factor,eta_min,T_max,lr_scheduler,optimizer,type_model,scaler,dim_reduction,pca_threshold,train_loss,train_acc,train_f1,train_balanced_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_balanced_acc
42,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3903, grad_fn=<NllLossBackward0>)",0.8498508161235594,0.910818840453811,0.8417715881751668,tensor(0.3949),0.8516893374286968,0.9790444258172674,0.8535931790499391,0.9120249869859448,0.8440151325713272
43,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3800, grad_fn=<NllLossBackward0>)",0.8513426548879658,0.9117340558566068,0.8446822443314795,tensor(0.3844),0.8532250987275121,0.979085331846068,0.8552984165651645,0.9130152125861396,0.8448677513289399
44,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3703, grad_fn=<NllLossBackward0>)",0.8529515006142866,0.9127453873257771,0.8467470558552195,tensor(0.3745),0.8543220710838086,0.9796487315305268,0.8560292326431181,0.9136765470618824,0.8474406648866805
45,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3611, grad_fn=<NllLossBackward0>)",0.8543263324167788,0.9135776759683464,0.8498529544958098,tensor(0.3651),0.854541465555068,0.9801897321428572,0.8557856272838003,0.9137729223566132,0.8495263677257854
46,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3526, grad_fn=<NllLossBackward0>)",0.8565494646931492,0.9149732991192177,0.8526493687774902,tensor(0.3562),0.8560772268538833,0.9804959598774032,0.8572472594397077,0.914738757473356,0.851360936563121
47,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3447, grad_fn=<NllLossBackward0>)",0.8581290586789914,0.9159503673922084,0.8552184124261062,tensor(0.3480),0.8582711715664765,0.9805501528202278,0.8596833130328867,0.916147455867082,0.8525789633597105
48,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3374, grad_fn=<NllLossBackward0>)",0.8593868835195694,0.91674027886031,0.8566978675357473,tensor(0.3403),0.8602457218078104,0.980865224625624,0.8616321559074299,0.9173907405005836,0.854657137556364
49,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3307, grad_fn=<NllLossBackward0>)",0.8617270227578541,0.918199595064634,0.8598195210517863,tensor(0.3331),0.8617814831066257,0.9814353006372956,0.8628501827040195,0.9183303085299456,0.8574736564734226
50,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3245, grad_fn=<NllLossBackward0>)",0.8637746445913532,0.9194889614992308,0.8618678356226106,tensor(0.3264),0.863317244405441,0.981737686773658,0.8643118148599269,0.9192900634797252,0.8593082253107582
51,32,,2,1000,50,0.001,0.0005,Transformer,,,,mean,False,3.0,0.0,5.0,0.5,,,ReduceLROnPlateau,Adam,HeteroGNN,standard_l2,pca,0.99,"tensor(0.3188, grad_fn=<NllLossBackward0>)",0.8659100216462879,0.9208235456680944,0.8643552602636925,tensor(0.3202),0.8670469504168495,0.9823545629997242,0.8679658952496955,0.921624418003104,0.8633427710244062
